article_id	variable	dependent_expert	independent_expert	central_expert	control_expert	dontknow_expert
479	PROTEST5	0	0	1	0	0
479	PROTEST6	0	0	1	0	0
480	CRIMTAIL	0	0	1	0	0
480	CRIMTAP	0	0	1	0	0
480	CRIMREAD	0	0	1	0	0
480	CRIMHOLD	0	0	1	0	0
480	MANTAIL	0	0	1	0	0
480	MANTAP	0	0	1	0	0
480	MANREAD	0	0	1	0	0
480	MANHOLD	0	0	1	0	0
481	LABORPOW	0	0	1	0	0
481	UNION	0	0	1	0	0
482	PUBDEF	0	0	1	0	0
482	PUBECON	0	0	1	0	0
5674	LABORPOW	0	1	0	0	0
5674	JOBSALL	1	0	0	0	0
5674	HLTHCARE	1	0	0	0	0
5674	AIDOLD	1	0	0	0	0
5674	AIDUNEMP	1	0	0	0	0
5674	SPHLTH	1	0	0	0	0
5674	SPSCHOOL	1	0	0	0	0
5674	SPRETIRE	1	0	0	0	0
5674	SPUNEMP	1	0	0	0	0
5674	UNION	0	1	0	0	0
5674	OCC	0	1	0	0	0
5674	SEX	0	1	0	0	0
5674	AGE	0	1	0	0	0
5674	WRKSTAT	0	1	0	0	0
5674	DEGREE	0	1	0	0	0
5674	CLASS	0	1	0	0	0
5674	PARTYID	0	1	0	0	0
5674	INCOME	0	1	0	0	0
7783	SEXHAR	1	0	1	0	0
7783	SEX	0	1	1	0	0
7783	BORN	0	0	0	0	1
7783	WKSUP	0	1	1	0	0
7783	SATFIN	0	1	1	0	0
7783	FEHELP	0	1	1	0	0
7783	HWDUTIES	0	1	1	0	0
2250	AGE	0	0	1	0	0
2250	RACE	0	0	0	1	0
2250	RACDIN	1	0	0	0	0
2250	RACSEG	1	0	0	0	0
2250	RACPUSH	1	0	0	0	0
2250	RACMAR	1	0	0	0	0
2253	RACDIN	1	0	0	0	0
2253	RACSEG	1	0	0	0	0
2253	RACPUSH	1	0	0	0	0
2253	RACMAR	1	0	0	0	0
2253	AGE	0	0	1	0	0
2253	REGION	0	0	0	1	0
2253	REG16	0	0	0	1	0
2253	RACE	0	0	0	1	0
2254	JOBSAT	1	0	1	0	0
2254	RACE	0	1	1	0	0
2254	SEX	0	1	1	0	0
2254	AGE	0	1	1	0	0
2254	OCC	0	1	0	0	0
2255	ATTEND	1	0	1	0	0
2255	AGE	0	1	1	0	0
2255	RELIG	0	0	1	1	0
2312	SEX	0	1	1	0	0
2312	CONSCI	1	0	1	0	0
2312	CONFINAN	0	0	0	0	1
2312	CONBUS	0	0	0	0	1
2312	CONCLERG	0	0	0	0	1
2312	CONEDUC	0	0	0	0	1
2312	CONFED	0	0	0	0	1
2312	CONLABOR	0	0	0	0	1
2312	CONPRESS	0	0	0	0	1
2312	CONMEDIC	0	0	0	0	1
2312	CONTV	0	0	0	0	1
2312	CONJUDGE	0	0	0	0	1
2312	CONLEGIS	0	0	0	0	1
2312	CONARMY	0	0	0	0	1
2312	EDUC	0	1	1	0	0
2312	OCC	0	1	1	0	0
2312	PRESTIGE	0	1	1	0	0
2312	WRKSTAT	0	1	1	0	0
2312	ATTEND	0	1	1	0	0
2312	RELIG	0	1	1	0	0
2312	NATENVIR	0	0	1	0	1
2312	NATARMS	0	0	1	0	1
2312	NATSPAC	0	0	1	0	0
3141	POSTLIFE	1	0	1	0	0
3141	RELIG	0	0	1	1	0
3141	FUND	0	0	1	1	0
3141	AGE	0	1	1	0	0
3895	REG16	0	1	1	0	0
3895	REGION	0	1	1	0	0
3895	RACE	0	0	1	1	0
3895	ATTEND	1	0	1	0	0
3895	AGE	0	1	1	0	0
3895	RELIG	0	0	1	1	0
212	MAWRKWRM	1	0	1	0	0
212	KIDSUFFR	1	0	1	0	0
212	FAMSUFFR	1	0	1	0	0
212	HAPIFWRK	1	0	1	0	0
212	HOMEKID	1	0	1	0	0
212	HOUSEWRK	1	0	1	0	0
212	FEJOBIND	1	0	1	0	0
212	TWOINCS	1	0	1	0	0
212	HUBBYWRK	1	0	1	0	0
212	SEX	0	1	1	0	0
212	WRKBABY	1	0	1	0	0
212	WRKSCH	1	0	1	0	0
212	WRKSTAT	0	1	0	0	0
212	SPWRKSTA	0	1	0	0	0
212	DAYCARE1	0	1	0	0	0
212	DAYCARE2	0	1	0	0	0
212	DAYCARE3	0	1	0	0	0
212	DAYCARE4	0	1	0	0	0
212	DAYCARE5	0	1	0	0	0
212	AGE	0	1	0	0	0
212	MARITAL	0	1	0	0	0
212	BABIES	0	1	0	0	0
212	PRETEEN	0	1	0	0	0
212	TEENS	0	1	0	0	0
212	WRKNOKID	1	0	1	0	0
212	RWRKNOKD	0	1	0	0	0
212	RWRKBABY	0	1	0	0	0
212	RWRKSCH	0	1	0	0	0
212	RWRKGRWN	0	1	0	0	0
212	EDUC	0	1	0	0	0
212	WRKGROWN	1	0	1	0	0
901	FEJOBIND	1	0	1	0	0
901	TWOINCS	1	0	1	0	0
901	MAWRKWRM	1	0	1	0	0
901	FAMSUFFR	1	0	1	0	0
901	KIDSUFFR	1	0	1	0	0
901	FEFAM	1	0	1	0	0
901	HAPIFWRK	1	0	1	0	0
901	HOUSEWRK	1	0	1	0	0
901	AGE	0	1	0	0	0
901	MARITAL	0	1	0	0	0
901	EDUC	0	1	0	0	0
901	BABIES	0	1	0	0	0
901	PRETEEN	0	1	0	0	0
901	TEENS	0	1	0	0	0
901	WRKSTAT	0	1	0	0	0
901	SPWRKSTA	0	1	0	0	0
5402	ABDEFECT	0	0	1	0	0
5402	ABNOMORE	0	0	1	0	0
5402	ABHLTH	0	0	1	0	0
5402	ABPOOR	0	0	1	0	0
5402	ABSINGLE	0	0	1	0	0
5402	ABRAPE	0	0	1	0	0
5402	ABANY	0	0	1	0	0
5402	ABIMP	1	0	1	0	0
5402	RELIG	0	1	0	0	0
5402	DENOM	0	1	0	0	0
5402	RACE	0	1	1	0	0
5402	SEX	0	1	1	0	0
6521	AGE	0	1	1	0	0
6521	SEX	0	1	1	0	0
6521	PREMARSX	1	0	1	0	0
6521	XMARSEX	1	0	1	0	0
6521	HOMOSEX	1	0	1	0	0
6524	AGE	0	1	0	0	0
6524	SEX	0	1	0	0	0
6524	ABDEFECT	1	0	1	0	0
6524	ABHLTH	1	0	1	0	0
6524	ABNOMORE	1	0	1	0	0
6524	ABSINGLE	1	0	1	0	0
6524	ABRAPE	1	0	1	0	0
6524	ABPOOR	1	0	1	0	0
6524	MARITAL	0	1	0	0	0
6524	WIDOWED	0	1	0	0	0
6524	EDUC	0	1	0	0	0
6524	DEGREE	0	1	0	0	0
6524	RELACTIV	0	1	0	0	0
6524	PARTFULL	0	0	0	0	0
6526	MAWRKWRM	1	0	0	0	0
6526	KIDSUFFR	1	0	0	0	0
